,ssdn_lo,ssdn_hi,ssdn_detection_lo,ssdn_detection_hi,ssdn_notification_lo,ssdn_notification_hi,ssdn_computation_lo,ssdn_computation_hi,ssdn_transference_lo,ssdn_transference_hi,ssdn_installation_lo,ssdn_installation_hi,ssdn_update_lo,ssdn_update_hi,pcsdn_lo,pcsdn_hi,pcsdn_detection_lo,pcsdn_detection_hi,pcsdn_notification_lo,pcsdn_notification_hi,pcsdn_computation_lo,pcsdn_computation_hi,pcsdn_transference_lo,pcsdn_transference_hi,pcsdn_installation_lo,pcsdn_installation_hi,pcsdn_update_lo,pcsdn_update_hi,felix_lo,felix_hi,felix_detection_lo,felix_detection_hi,felix_coordination_lo,felix_coordination_hi
1,672806000,711006000,100000,100000,17000000,19000000,634506000,634506000,19000000,57000000,2200000,400000,21200000,57400000,38300000,76500000,100000,100000,17000000,19000000,0,0,19000000,57000000,2200000,400000,21200000,57400000,100010,47100020,100000,100000,10,47000020
31,673106000,692706000,100000,100000,19000000,19000000,634506000,634506000,19000000,39000000,500000,100000,19500000,39100000,38600000,58200000,100000,100000,19000000,19000000,0,0,19000000,39000000,500000,100000,19500000,39100000,100010,22100010,100000,100000,10,22000010
61,679206000,725706000,100000,100000,10000000,11000000,634506000,634506000,11000000,80000000,23600000,100000,34600000,80100000,44700000,91200000,100000,100000,10000000,11000000,0,0,11000000,80000000,23600000,100000,34600000,80100000,100010,86100040,100000,100000,10,86000040
91,698406000,699406000,100000,100000,19000000,20000000,634506000,634506000,20000000,20000000,24800000,24800000,44800000,44800000,63900000,64900000,100000,100000,19000000,20000000,0,0,20000000,20000000,24800000,24800000,44800000,44800000,100010,22100010,100000,100000,10,22000010
121,665606000,717706000,100000,100000,1000000,2000000,634506000,634506000,2000000,81000000,28000000,100000,30000000,81100000,31100000,83200000,100000,100000,1000000,2000000,0,0,2000000,81000000,28000000,100000,30000000,81100000,100010,82100030,100000,100000,10,82000030
151,657406000,658406000,100000,100000,7000000,8000000,634506000,634506000,8000000,8000000,7800000,7800000,15800000,15800000,22900000,23900000,100000,100000,7000000,8000000,0,0,8000000,8000000,7800000,7800000,15800000,15800000,100010,8100020,100000,100000,10,8000020
181,690706000,690706000,100000,100000,20000000,20000000,634506000,634506000,20000000,20000000,16100000,16100000,36100000,36100000,56200000,56200000,100000,100000,20000000,20000000,0,0,20000000,20000000,16100000,16100000,36100000,36100000,100010,27100040,100000,100000,10,27000040
211,678906000,678906000,100000,100000,20000000,20000000,634506000,634506000,20000000,20000000,4300000,4300000,24300000,24300000,44400000,44400000,100000,100000,20000000,20000000,0,0,20000000,20000000,4300000,4300000,24300000,24300000,100010,1100010,100000,100000,10,1000010
241,651706000,652706000,100000,100000,8000000,9000000,634506000,634506000,9000000,9000000,100000,100000,9100000,9100000,17200000,18200000,100000,100000,8000000,9000000,0,0,9000000,9000000,100000,100000,9100000,9100000,100010,1100010,100000,100000,10,1000010
271,668306000,669306000,100000,100000,8000000,9000000,634506000,634506000,9000000,9000000,16700000,16700000,25700000,25700000,33800000,34800000,100000,100000,8000000,9000000,0,0,9000000,9000000,16700000,16700000,25700000,25700000,100010,16100040,100000,100000,10,16000040
301,673006000,674006000,100000,100000,9000000,10000000,634506000,634506000,10000000,10000000,19400000,19400000,29400000,29400000,38500000,39500000,100000,100000,9000000,10000000,0,0,10000000,10000000,19400000,19400000,29400000,29400000,100010,16100040,100000,100000,10,16000040
331,675606000,682706000,100000,100000,8000000,9000000,634506000,634506000,9000000,39000000,24000000,100000,33000000,39100000,41100000,48200000,100000,100000,8000000,9000000,0,0,9000000,39000000,24000000,100000,33000000,39100000,100010,33100020,100000,100000,10,33000020
361,651706000,652706000,100000,100000,8000000,9000000,634506000,634506000,9000000,9000000,100000,100000,9100000,9100000,17200000,18200000,100000,100000,8000000,9000000,0,0,9000000,9000000,100000,100000,9100000,9100000,100010,1100010,100000,100000,10,1000010
391,665606000,665606000,100000,100000,9000000,9000000,634506000,634506000,9000000,9000000,13000000,13000000,22000000,22000000,31100000,31100000,100000,100000,9000000,9000000,0,0,9000000,9000000,13000000,13000000,22000000,22000000,100010,16100030,100000,100000,10,16000030
421,678006000,678006000,100000,100000,13000000,13000000,634506000,634506000,13000000,13000000,17400000,17400000,30400000,30400000,43500000,43500000,100000,100000,13000000,13000000,0,0,13000000,13000000,17400000,17400000,30400000,30400000,100010,2100010,100000,100000,10,2000010
451,678006000,678006000,100000,100000,13000000,13000000,634506000,634506000,13000000,13000000,17400000,17400000,30400000,30400000,43500000,43500000,100000,100000,13000000,13000000,0,0,13000000,13000000,17400000,17400000,30400000,30400000,100010,2100010,100000,100000,10,2000010
481,657606000,681806000,100000,100000,0,3000000,634506000,634506000,3000000,44000000,20000000,200000,23000000,44200000,23100000,47300000,100000,100000,0,3000000,0,0,3000000,44000000,20000000,200000,23000000,44200000,100010,44100050,100000,100000,10,44000050
511,757906000,758906000,100000,100000,46000000,47000000,634506000,634506000,47000000,47000000,30300000,30300000,77300000,77300000,123400000,124400000,100000,100000,46000000,47000000,0,0,47000000,47000000,30300000,30300000,77300000,77300000,100010,13100050,100000,100000,10,13000050
541,681306000,739006000,100000,100000,18000000,19000000,634506000,634506000,18000000,85000000,10700000,400000,28700000,85400000,46800000,104500000,100000,100000,18000000,19000000,0,0,18000000,85000000,10700000,400000,28700000,85400000,100010,72100020,100000,100000,10,72000020
571,676906000,701706000,100000,100000,10000000,10000000,634506000,634506000,10000000,57000000,22300000,100000,32300000,57100000,42400000,67200000,100000,100000,10000000,10000000,0,0,10000000,57000000,22300000,100000,32300000,57100000,100010,49100020,100000,100000,10,49000020
