,ssdn_lo,ssdn_hi,ssdn_detection_lo,ssdn_detection_hi,ssdn_notification_lo,ssdn_notification_hi,ssdn_computation_lo,ssdn_computation_hi,ssdn_transference_lo,ssdn_transference_hi,ssdn_installation_lo,ssdn_installation_hi,ssdn_update_lo,ssdn_update_hi,pcsdn_lo,pcsdn_hi,pcsdn_detection_lo,pcsdn_detection_hi,pcsdn_notification_lo,pcsdn_notification_hi,pcsdn_computation_lo,pcsdn_computation_hi,pcsdn_transference_lo,pcsdn_transference_hi,pcsdn_installation_lo,pcsdn_installation_hi,pcsdn_update_lo,pcsdn_update_hi,felix_lo,felix_hi,felix_detection_lo,felix_detection_hi,felix_coordination_lo,felix_coordination_hi
1,443848000,443898000,100000,100000,100000,150000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,13050000,13100000,100000,100000,100000,150000,0,0,150000,150000,12700000,12700000,12850000,12850000,100010,350030,100000,100000,10,250030
31,443298000,443398000,100000,100000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,12500000,12600000,100000,100000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,100010,200010,100000,100000,10,100010
61,443298000,443398000,100000,100000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,12500000,12600000,100000,100000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,100010,200010,100000,100000,10,100010
91,443298000,443398000,100000,100000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,12500000,12600000,100000,100000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,100010,200010,100000,100000,10,100010
121,443298000,443398000,100000,100000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,12500000,12600000,100000,100000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,100010,200010,100000,100000,10,100010
151,443848000,443898000,100000,100000,100000,150000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,13050000,13100000,100000,100000,100000,150000,0,0,150000,150000,12700000,12700000,12850000,12850000,100010,350030,100000,100000,10,250030
181,443898000,443948000,100000,100000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,13100000,13150000,100000,100000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,100010,350030,100000,100000,10,250030
211,443898000,443948000,100000,100000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,13100000,13150000,100000,100000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,100010,350030,100000,100000,10,250030
241,443898000,443948000,100000,100000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,13100000,13150000,100000,100000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,100010,350030,100000,100000,10,250030
271,443098000,443198000,100000,100000,100000,200000,430798000,430798000,100000,100000,12000000,12000000,12100000,12100000,12300000,12400000,100000,100000,100000,200000,0,0,100000,100000,12000000,12000000,12100000,12100000,100010,200010,100000,100000,10,100010
