,ssdn_lo,ssdn_hi,ssdn_detection_lo,ssdn_detection_hi,ssdn_notification_lo,ssdn_notification_hi,ssdn_computation_lo,ssdn_computation_hi,ssdn_transference_lo,ssdn_transference_hi,ssdn_installation_lo,ssdn_installation_hi,ssdn_update_lo,ssdn_update_hi,pcsdn_lo,pcsdn_hi,pcsdn_detection_lo,pcsdn_detection_hi,pcsdn_notification_lo,pcsdn_notification_hi,pcsdn_computation_lo,pcsdn_computation_hi,pcsdn_transference_lo,pcsdn_transference_hi,pcsdn_installation_lo,pcsdn_installation_hi,pcsdn_update_lo,pcsdn_update_hi,felix_lo,felix_hi,felix_detection_lo,felix_detection_hi,felix_coordination_lo,felix_coordination_hi
1,102749000,103146000,100000,100000,1997000,2394000,100652000,100652000,0,0,0,0,0,0,2097000,2494000,100000,100000,1997000,2394000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
31,105291000,105445000,100000,100000,4539000,4693000,100652000,100652000,0,0,0,0,0,0,4639000,4793000,100000,100000,4539000,4693000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
61,106341000,110676000,100000,100000,992000,2097000,100652000,100652000,2097000,5627000,2500000,2200000,4597000,7827000,5689000,10024000,100000,100000,992000,2097000,0,0,2097000,5627000,2500000,2200000,4597000,7827000,100010,7188060,100000,100000,10,7088060
91,102820000,103116000,100000,100000,2068000,2364000,100652000,100652000,0,0,0,0,0,0,2168000,2464000,100000,100000,2068000,2364000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
2,108999000,110084000,100000,100000,1997000,2650000,100652000,100652000,2650000,3282000,3600000,3400000,6250000,6682000,8347000,9432000,100000,100000,1997000,2650000,0,0,2650000,3282000,3600000,3400000,6250000,6682000,100010,1254030,100000,100000,10,1154030
32,110578000,110697000,100000,100000,4676000,4750000,100652000,100652000,4750000,4995000,400000,200000,5150000,5195000,9926000,10045000,100000,100000,4676000,4750000,0,0,4750000,4995000,400000,200000,5150000,5195000,100010,345010,100000,100000,10,245010
62,104144000,109471000,100000,100000,0,992000,100652000,100652000,992000,5627000,2400000,2100000,3392000,7727000,3492000,8819000,100000,100000,0,992000,0,0,992000,5627000,2400000,2100000,3392000,7727000,100010,6196050,100000,100000,10,6096050
92,108918000,518165000,100000,100000,1621000,3194000,100652000,503260000,2745000,8811000,3800000,2800000,6545000,11611000,8266000,14905000,100000,100000,1621000,3194000,0,0,2745000,8811000,3800000,2800000,6545000,11611000,100010,6166010,100000,100000,10,6066010
3,109744000,110376000,100000,100000,2650000,2842000,100652000,100652000,2842000,3282000,3500000,3500000,6342000,6782000,9092000,9724000,100000,100000,2650000,2842000,0,0,2842000,3282000,3500000,3500000,6342000,6782000,100010,1206020,100000,100000,10,1106020
33,114755000,115106000,100000,100000,4676000,5027000,100652000,100652000,5027000,5027000,4300000,4300000,9327000,9327000,14103000,14454000,100000,100000,4676000,5027000,0,0,5027000,5027000,4300000,4300000,9327000,9327000,100010,1599010,100000,100000,10,1499010
