,ssdn_lo,ssdn_hi,ssdn_detection_lo,ssdn_detection_hi,ssdn_notification_lo,ssdn_notification_hi,ssdn_computation_lo,ssdn_computation_hi,ssdn_transference_lo,ssdn_transference_hi,ssdn_installation_lo,ssdn_installation_hi,ssdn_update_lo,ssdn_update_hi,pcsdn_lo,pcsdn_hi,pcsdn_detection_lo,pcsdn_detection_hi,pcsdn_notification_lo,pcsdn_notification_hi,pcsdn_computation_lo,pcsdn_computation_hi,pcsdn_transference_lo,pcsdn_transference_hi,pcsdn_installation_lo,pcsdn_installation_hi,pcsdn_update_lo,pcsdn_update_hi,felix_lo,felix_hi,felix_detection_lo,felix_detection_hi,felix_coordination_lo,felix_coordination_hi
1,288558000,289383000,100000,100000,2919000,3744000,263395000,263395000,3744000,3744000,18400000,18400000,22144000,22144000,25163000,25988000,100000,100000,2919000,3744000,0,0,3744000,3744000,18400000,18400000,22144000,22144000,100010,1750020,100000,100000,10,1650020
31,308455000,329075000,100000,100000,13135000,14625000,263395000,263395000,14625000,17055000,17200000,33900000,31825000,50955000,45060000,65680000,100000,100000,13135000,14625000,0,0,14625000,17055000,17200000,33900000,31825000,50955000,100010,4378060,100000,100000,10,4278060
61,294196000,294509000,100000,100000,10944000,11257000,263395000,263395000,11257000,11257000,8500000,8500000,19757000,19757000,30801000,31114000,100000,100000,10944000,11257000,0,0,11257000,11257000,8500000,8500000,19757000,19757000,100010,12163070,100000,100000,10,12063070
91,289870000,290023000,100000,100000,3711000,3864000,263395000,263395000,3864000,3864000,18800000,18800000,22664000,22664000,26475000,26628000,100000,100000,3711000,3864000,0,0,3864000,3864000,18800000,18800000,22664000,22664000,100010,4782130,100000,100000,10,4682130
121,285548000,285903000,100000,100000,1299000,1654000,263395000,263395000,1654000,1654000,19100000,19100000,20754000,20754000,22153000,22508000,100000,100000,1299000,1654000,0,0,1654000,1654000,19100000,19100000,20754000,20754000,100010,3328120,100000,100000,10,3228120
151,281704000,282322000,100000,100000,18209000,18827000,263395000,263395000,0,0,0,0,0,0,18309000,18927000,100000,100000,18209000,18827000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
181,310714000,327070000,100000,100000,15549000,16170000,263395000,263395000,16170000,17905000,15500000,29500000,31670000,47405000,47319000,63675000,100000,100000,15549000,16170000,0,0,16170000,17905000,15500000,29500000,31670000,47405000,100010,5546070,100000,100000,10,5446070
211,274213000,274270000,100000,100000,10718000,10775000,263395000,263395000,0,0,0,0,0,0,10818000,10875000,100000,100000,10718000,10775000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
241,266352000,266774000,100000,100000,2857000,3279000,263395000,263395000,0,0,0,0,0,0,2957000,3379000,100000,100000,2857000,3279000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
271,265270000,529098000,100000,100000,1775000,2208000,263395000,526790000,0,0,0,0,0,0,1875000,2308000,100000,100000,1775000,2208000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
301,287042000,551074000,100000,100000,3155000,3792000,263395000,526790000,3792000,3792000,16600000,16600000,20392000,20392000,23647000,24284000,100000,100000,3155000,3792000,0,0,3792000,3792000,16600000,16600000,20392000,20392000,100010,4455140,100000,100000,10,4355140
331,308883000,836565000,100000,100000,13748000,14640000,263395000,790185000,14640000,14640000,17000000,17000000,31640000,31640000,45488000,46380000,100000,100000,13748000,14640000,0,0,14640000,14640000,17000000,17000000,31640000,31640000,100010,15325120,100000,100000,10,15225120
361,291405000,555170000,100000,100000,4120000,4490000,263395000,526790000,4490000,4490000,19300000,19300000,23790000,23790000,28010000,28380000,100000,100000,4120000,4490000,0,0,4490000,4490000,19300000,19300000,23790000,23790000,100010,925010,100000,100000,10,825010
391,265987000,793602000,100000,100000,978000,1803000,263395000,790185000,1314000,1314000,200000,200000,1514000,1514000,2592000,3417000,100000,100000,978000,1803000,0,0,1314000,1314000,200000,200000,1514000,1514000,100010,100000,100000,100000,10,0
421,264033000,792088000,100000,100000,538000,1803000,263395000,790185000,0,0,0,0,0,0,638000,1903000,100000,100000,538000,1803000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
2,287402000,288458000,100000,100000,2488000,2919000,263395000,263395000,2919000,3744000,18500000,18300000,21419000,22044000,24007000,25063000,100000,100000,2488000,2919000,0,0,2919000,3744000,18500000,18300000,21419000,22044000,100010,2050020,100000,100000,10,1950020
32,304216000,324039000,100000,100000,12486000,13135000,263395000,263395000,13135000,18209000,15100000,29200000,28235000,47409000,40821000,60644000,100000,100000,12486000,13135000,0,0,13135000,18209000,15100000,29200000,28235000,47409000,100010,5174070,100000,100000,10,5074070
62,293114000,299814000,100000,100000,10475000,10944000,263395000,263395000,10944000,11175000,8200000,14200000,19144000,25375000,29719000,36419000,100000,100000,10475000,10944000,0,0,10944000,11175000,8200000,14200000,19144000,25375000,100010,12315100,100000,100000,10,12215100
92,311737000,311939000,100000,100000,15370000,15572000,263395000,263395000,15572000,15572000,17300000,17300000,32872000,32872000,48342000,48544000,100000,100000,15370000,15572000,0,0,15572000,15572000,17300000,17300000,32872000,32872000,100010,5212070,100000,100000,10,5112070
122,282944000,301316000,100000,100000,950000,1299000,263395000,263395000,1299000,2322000,17200000,34200000,18499000,36522000,19549000,37921000,100000,100000,950000,1299000,0,0,1299000,2322000,17200000,34200000,18499000,36522000,100010,2979110,100000,100000,10,2879110
152,303639000,303713000,100000,100000,18135000,18209000,263395000,263395000,18209000,18209000,3800000,3800000,22009000,22009000,40244000,40318000,100000,100000,18135000,18209000,0,0,18209000,18209000,3800000,3800000,22009000,22009000,100010,8729120,100000,100000,10,8629120
182,310843000,326349000,100000,100000,14799000,15549000,263395000,263395000,15549000,17905000,17000000,29400000,32549000,47305000,47448000,62954000,100000,100000,14799000,15549000,0,0,15549000,17905000,17000000,29400000,32549000,47305000,100010,5799080,100000,100000,10,5699080
212,302621000,311127000,100000,100000,9310000,17816000,263395000,263395000,17816000,17816000,12000000,12000000,29816000,29816000,39226000,47732000,100000,100000,9310000,17816000,0,0,17816000,17816000,12000000,12000000,29816000,29816000,100010,8872010,100000,100000,10,8772010
242,265918000,266352000,100000,100000,2423000,2857000,263395000,263395000,0,0,0,0,0,0,2523000,2957000,100000,100000,2423000,2857000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
272,286727000,821653000,100000,100000,1775000,2857000,263395000,790185000,2857000,3711000,18600000,24800000,21457000,28511000,23332000,31468000,100000,100000,1775000,2857000,0,0,2857000,3711000,18600000,24800000,21457000,28511000,100010,3804140,100000,100000,10,3704140
302,289372000,553318000,100000,100000,3313000,3864000,263395000,526790000,3864000,3864000,18700000,18700000,22564000,22564000,25977000,26528000,100000,100000,3313000,3864000,0,0,3864000,3864000,18700000,18700000,22564000,22564000,100010,4384120,100000,100000,10,4284120
332,307662000,572518000,100000,100000,12979000,14088000,263395000,526790000,14088000,14640000,17100000,16900000,31188000,31540000,44267000,45728000,100000,100000,12979000,14088000,0,0,14088000,14640000,17100000,16900000,31188000,31540000,100010,14556110,100000,100000,10,14456110
362,291030000,554850000,100000,100000,4065000,4270000,263395000,526790000,4270000,4490000,19200000,19200000,23470000,23690000,27635000,28060000,100000,100000,4065000,4270000,0,0,4270000,4490000,19200000,19200000,23470000,23690000,100010,1145020,100000,100000,10,1045020
392,300181000,828621000,100000,100000,10718000,12368000,263395000,790185000,12368000,12368000,13600000,13600000,25968000,25968000,36786000,38436000,100000,100000,10718000,12368000,0,0,12368000,12368000,13600000,13600000,25968000,25968000,100010,12295080,100000,100000,10,12195080
422,280845000,281238000,100000,100000,17350000,17743000,263395000,263395000,0,0,0,0,0,0,17450000,17843000,100000,100000,17350000,17743000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
3,287570000,289635000,100000,100000,2215000,3560000,263395000,263395000,3560000,4280000,18300000,18300000,21860000,22580000,24175000,26240000,100000,100000,2215000,3560000,0,0,3560000,4280000,18300000,18300000,21860000,22580000,100010,820020,100000,100000,10,720020
33,276109000,276443000,100000,100000,12614000,12948000,263395000,263395000,0,0,0,0,0,0,12714000,13048000,100000,100000,12614000,12948000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
63,297443000,298145000,100000,100000,9773000,10475000,263395000,263395000,10475000,10475000,13700000,13700000,24175000,24175000,34048000,34750000,100000,100000,9773000,10475000,0,0,10475000,10475000,13700000,13700000,24175000,24175000,100010,11613110,100000,100000,10,11513110
93,311038000,311637000,100000,100000,14973000,15370000,263395000,263395000,15370000,15572000,17200000,17200000,32570000,32772000,47643000,48242000,100000,100000,14973000,15370000,0,0,15370000,15572000,17200000,17200000,32570000,32772000,100010,4853070,100000,100000,10,4753070
123,278135000,278249000,100000,100000,14640000,14754000,263395000,263395000,0,0,0,0,0,0,14740000,14854000,100000,100000,14640000,14754000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
153,318135000,318365000,100000,100000,17905000,18135000,263395000,263395000,18135000,18135000,18600000,18600000,36735000,36735000,54740000,54970000,100000,100000,17905000,18135000,0,0,18135000,18135000,18600000,18600000,36735000,36735000,100010,8499110,100000,100000,10,8399110
183,310819000,325499000,100000,100000,14625000,14799000,263395000,263395000,14799000,17905000,17900000,29300000,32699000,47205000,47424000,62104000,100000,100000,14625000,14799000,0,0,14799000,17905000,17900000,29300000,32699000,47205000,100010,5868070,100000,100000,10,5768070
213,293930000,294045000,100000,100000,9310000,9425000,263395000,263395000,9425000,9425000,11700000,11700000,21125000,21125000,30535000,30650000,100000,100000,9310000,9425000,0,0,9425000,9425000,11700000,11700000,21125000,21125000,100010,12938060,100000,100000,10,12838060
243,298684000,306727000,100000,100000,9773000,17816000,263395000,263395000,17816000,17816000,7600000,7600000,25416000,25416000,35289000,43332000,100000,100000,9773000,17816000,0,0,17816000,17816000,7600000,7600000,25416000,25416000,100010,100000,100000,100000,10,0
273,284169000,549339000,100000,100000,1299000,1775000,263395000,526790000,1775000,3474000,17600000,17200000,19375000,20674000,20774000,22549000,100000,100000,1299000,1775000,0,0,1775000,3474000,17600000,17200000,19375000,20674000,100010,3328120,100000,100000,10,3228120
303,273798000,537346000,100000,100000,3711000,3864000,263395000,526790000,3792000,3792000,2800000,2800000,6592000,6592000,10403000,10556000,100000,100000,3711000,3864000,0,0,3792000,3792000,2800000,2800000,6592000,6592000,100010,3669080,100000,100000,10,3569080
333,296420000,561134000,100000,100000,12453000,13772000,263395000,526790000,13772000,13772000,6700000,6700000,20472000,20472000,33025000,34344000,100000,100000,12453000,13772000,0,0,13772000,13772000,6700000,6700000,20472000,20472000,100010,12553060,100000,100000,10,12453060
363,271824000,536044000,100000,100000,3744000,4569000,263395000,526790000,4385000,4385000,200000,200000,4585000,4585000,8429000,9254000,100000,100000,3744000,4569000,0,0,4385000,4385000,200000,200000,4585000,4585000,100010,100000,100000,100000,10,0
393,293183000,822642000,100000,100000,13516000,14780000,263395000,790185000,13772000,17377000,2400000,200000,16172000,17577000,29788000,32457000,100000,100000,13516000,14780000,0,0,13772000,17377000,2400000,200000,16172000,17577000,100010,5888080,100000,100000,10,5788080
423,297139000,825250000,100000,100000,16422000,17743000,263395000,790185000,16422000,16422000,800000,800000,17222000,17222000,33744000,35065000,100000,100000,16422000,17743000,0,0,16422000,16422000,800000,800000,17222000,17222000,100010,100000,100000,100000,10,0
4,271899000,272408000,100000,100000,3560000,3744000,263395000,263395000,3744000,4569000,1100000,600000,4844000,5169000,8504000,9013000,100000,100000,3560000,3744000,0,0,3744000,4569000,1100000,600000,4844000,5169000,100010,1561020,100000,100000,10,1461020
34,302781000,305128000,100000,100000,12033000,12453000,263395000,263395000,12453000,14780000,14800000,14400000,27253000,29180000,39386000,41733000,100000,100000,12033000,12453000,0,0,12453000,14780000,14800000,14400000,27253000,29180000,100010,13873120,100000,100000,10,13773120
64,295609000,296945000,100000,100000,9239000,10575000,263395000,263395000,10575000,10575000,12300000,12300000,22875000,22875000,32214000,33550000,100000,100000,9239000,10575000,0,0,10575000,10575000,12300000,12300000,22875000,22875000,100010,700010,100000,100000,10,600010
94,298437000,301274000,100000,100000,15572000,16170000,263395000,263395000,16170000,18209000,3200000,3400000,19370000,21609000,35042000,37879000,100000,100000,15572000,16170000,0,0,16170000,18209000,3200000,3400000,19370000,21609000,100010,5414080,100000,100000,10,5314080
124,294835000,295912000,100000,100000,14300000,14640000,263395000,263395000,14640000,17377000,2400000,400000,17040000,17777000,31440000,32517000,100000,100000,14300000,14640000,0,0,14640000,17377000,2400000,400000,17040000,17777000,100010,7871110,100000,100000,10,7771110
