,ssdn_lo,ssdn_hi,ssdn_detection_lo,ssdn_detection_hi,ssdn_notification_lo,ssdn_notification_hi,ssdn_computation_lo,ssdn_computation_hi,ssdn_transference_lo,ssdn_transference_hi,ssdn_installation_lo,ssdn_installation_hi,ssdn_update_lo,ssdn_update_hi,pcsdn_lo,pcsdn_hi,pcsdn_detection_lo,pcsdn_detection_hi,pcsdn_notification_lo,pcsdn_notification_hi,pcsdn_computation_lo,pcsdn_computation_hi,pcsdn_transference_lo,pcsdn_transference_hi,pcsdn_installation_lo,pcsdn_installation_hi,pcsdn_update_lo,pcsdn_update_hi,felix_lo,felix_hi,felix_detection_lo,felix_detection_hi,felix_coordination_lo,felix_coordination_hi
1,102749000,103146000,100000,100000,1997000,2394000,100652000,100652000,0,0,0,0,0,0,2097000,2494000,100000,100000,1997000,2394000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
31,105291000,105445000,100000,100000,4539000,4693000,100652000,100652000,0,0,0,0,0,0,4639000,4793000,100000,100000,4539000,4693000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
61,128841000,130476000,100000,100000,992000,2097000,100652000,100652000,2097000,5627000,25000000,22000000,27097000,27627000,28189000,29824000,100000,100000,992000,2097000,0,0,2097000,5627000,25000000,22000000,27097000,27627000,100010,7188060,100000,100000,10,7088060
91,102820000,103116000,100000,100000,2068000,2364000,100652000,100652000,0,0,0,0,0,0,2168000,2464000,100000,100000,2068000,2364000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
2,141399000,142052000,100000,100000,1997000,2650000,100652000,100652000,2650000,2650000,36000000,36000000,38650000,38650000,40747000,41400000,100000,100000,1997000,2650000,0,0,2650000,2650000,36000000,36000000,38650000,38650000,100010,1254030,100000,100000,10,1154030
32,114178000,114252000,100000,100000,4676000,4750000,100652000,100652000,4750000,4750000,4000000,4000000,8750000,8750000,13526000,13600000,100000,100000,4676000,4750000,0,0,4750000,4750000,4000000,4000000,8750000,8750000,100010,345010,100000,100000,10,245010
62,125744000,128371000,100000,100000,0,992000,100652000,100652000,992000,5627000,24000000,21000000,24992000,26627000,25092000,27719000,100000,100000,0,992000,0,0,992000,5627000,24000000,21000000,24992000,26627000,100010,6196050,100000,100000,10,6096050
92,143118000,547299000,100000,100000,1621000,3194000,100652000,503260000,2745000,2745000,38000000,38000000,40745000,40745000,42466000,44039000,100000,100000,1621000,3194000,0,0,2745000,2745000,38000000,38000000,40745000,40745000,100010,6166010,100000,100000,10,6066010
3,141244000,141876000,100000,100000,2650000,2842000,100652000,100652000,2842000,3282000,35000000,35000000,37842000,38282000,40592000,41224000,100000,100000,2650000,2842000,0,0,2842000,3282000,35000000,35000000,37842000,38282000,100010,1206020,100000,100000,10,1106020
33,153455000,153806000,100000,100000,4676000,5027000,100652000,100652000,5027000,5027000,43000000,43000000,48027000,48027000,52803000,53154000,100000,100000,4676000,5027000,0,0,5027000,5027000,43000000,43000000,48027000,48027000,100010,1599010,100000,100000,10,1499010
