,ssdn_lo,ssdn_hi,ssdn_detection_lo,ssdn_detection_hi,ssdn_notification_lo,ssdn_notification_hi,ssdn_computation_lo,ssdn_computation_hi,ssdn_transference_lo,ssdn_transference_hi,ssdn_installation_lo,ssdn_installation_hi,ssdn_update_lo,ssdn_update_hi,pcsdn_lo,pcsdn_hi,pcsdn_detection_lo,pcsdn_detection_hi,pcsdn_notification_lo,pcsdn_notification_hi,pcsdn_computation_lo,pcsdn_computation_hi,pcsdn_transference_lo,pcsdn_transference_hi,pcsdn_installation_lo,pcsdn_installation_hi,pcsdn_update_lo,pcsdn_update_hi,felix_lo,felix_hi,felix_detection_lo,felix_detection_hi,felix_coordination_lo,felix_coordination_hi
1,454158000,454983000,100000,100000,2919000,3744000,263395000,263395000,3744000,3744000,184000000,184000000,187744000,187744000,190763000,191588000,100000,100000,2919000,3744000,0,0,3744000,3744000,184000000,184000000,187744000,187744000,100010,1750020,100000,100000,10,1650020
31,463255000,634175000,100000,100000,13135000,14625000,263395000,263395000,14625000,17055000,172000000,339000000,186625000,356055000,199860000,370780000,100000,100000,13135000,14625000,0,0,14625000,17055000,172000000,339000000,186625000,356055000,100010,4378060,100000,100000,10,4278060
61,370696000,371009000,100000,100000,10944000,11257000,263395000,263395000,11257000,11257000,85000000,85000000,96257000,96257000,107301000,107614000,100000,100000,10944000,11257000,0,0,11257000,11257000,85000000,85000000,96257000,96257000,100010,12163070,100000,100000,10,12063070
91,459070000,459223000,100000,100000,3711000,3864000,263395000,263395000,3864000,3864000,188000000,188000000,191864000,191864000,195675000,195828000,100000,100000,3711000,3864000,0,0,3864000,3864000,188000000,188000000,191864000,191864000,100010,4782130,100000,100000,10,4682130
121,457448000,457803000,100000,100000,1299000,1654000,263395000,263395000,1654000,1654000,191000000,191000000,192654000,192654000,194053000,194408000,100000,100000,1299000,1654000,0,0,1654000,1654000,191000000,191000000,192654000,192654000,100010,3328120,100000,100000,10,3228120
151,281704000,282322000,100000,100000,18209000,18827000,263395000,263395000,0,0,0,0,0,0,18309000,18927000,100000,100000,18209000,18827000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
181,450214000,592570000,100000,100000,15549000,16170000,263395000,263395000,16170000,17905000,155000000,295000000,171170000,312905000,186819000,329175000,100000,100000,15549000,16170000,0,0,16170000,17905000,155000000,295000000,171170000,312905000,100010,5546070,100000,100000,10,5446070
211,274213000,274270000,100000,100000,10718000,10775000,263395000,263395000,0,0,0,0,0,0,10818000,10875000,100000,100000,10718000,10775000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
241,266352000,266774000,100000,100000,2857000,3279000,263395000,263395000,0,0,0,0,0,0,2957000,3379000,100000,100000,2857000,3279000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
271,265270000,529098000,100000,100000,1775000,2208000,263395000,526790000,0,0,0,0,0,0,1875000,2308000,100000,100000,1775000,2208000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
