,ssdn_lo,ssdn_hi,ssdn_detection_lo,ssdn_detection_hi,ssdn_notification_lo,ssdn_notification_hi,ssdn_computation_lo,ssdn_computation_hi,ssdn_transference_lo,ssdn_transference_hi,ssdn_installation_lo,ssdn_installation_hi,ssdn_update_lo,ssdn_update_hi,pcsdn_lo,pcsdn_hi,pcsdn_detection_lo,pcsdn_detection_hi,pcsdn_notification_lo,pcsdn_notification_hi,pcsdn_computation_lo,pcsdn_computation_hi,pcsdn_transference_lo,pcsdn_transference_hi,pcsdn_installation_lo,pcsdn_installation_hi,pcsdn_update_lo,pcsdn_update_hi,felix_lo,felix_hi,felix_detection_lo,felix_detection_hi,felix_coordination_lo,felix_coordination_hi
1,112649000,113046000,10000000,10000000,1997000,2394000,100652000,100652000,0,0,0,0,0,0,11997000,12394000,10000000,10000000,1997000,2394000,0,0,0,0,0,0,0,0,10000010,10000000,10000000,10000000,10,0
31,115191000,115345000,10000000,10000000,4539000,4693000,100652000,100652000,0,0,0,0,0,0,14539000,14693000,10000000,10000000,4539000,4693000,0,0,0,0,0,0,0,0,10000010,10000000,10000000,10000000,10,0
61,116241000,120576000,10000000,10000000,992000,2097000,100652000,100652000,2097000,5627000,2500000,2200000,4597000,7827000,15589000,19924000,10000000,10000000,992000,2097000,0,0,2097000,5627000,2500000,2200000,4597000,7827000,10000010,17088060,10000000,10000000,10,7088060
91,112720000,113016000,10000000,10000000,2068000,2364000,100652000,100652000,0,0,0,0,0,0,12068000,12364000,10000000,10000000,2068000,2364000,0,0,0,0,0,0,0,0,10000010,10000000,10000000,10000000,10,0
2,118899000,119984000,10000000,10000000,1997000,2650000,100652000,100652000,2650000,3282000,3600000,3400000,6250000,6682000,18247000,19332000,10000000,10000000,1997000,2650000,0,0,2650000,3282000,3600000,3400000,6250000,6682000,10000010,11154030,10000000,10000000,10,1154030
32,120478000,120597000,10000000,10000000,4676000,4750000,100652000,100652000,4750000,4995000,400000,200000,5150000,5195000,19826000,19945000,10000000,10000000,4676000,4750000,0,0,4750000,4995000,400000,200000,5150000,5195000,10000010,10245010,10000000,10000000,10,245010
62,114044000,119371000,10000000,10000000,0,992000,100652000,100652000,992000,5627000,2400000,2100000,3392000,7727000,13392000,18719000,10000000,10000000,0,992000,0,0,992000,5627000,2400000,2100000,3392000,7727000,10000010,16096050,10000000,10000000,10,6096050
92,118818000,528065000,10000000,10000000,1621000,3194000,100652000,503260000,2745000,8811000,3800000,2800000,6545000,11611000,18166000,24805000,10000000,10000000,1621000,3194000,0,0,2745000,8811000,3800000,2800000,6545000,11611000,10000010,16066010,10000000,10000000,10,6066010
3,119644000,120276000,10000000,10000000,2650000,2842000,100652000,100652000,2842000,3282000,3500000,3500000,6342000,6782000,18992000,19624000,10000000,10000000,2650000,2842000,0,0,2842000,3282000,3500000,3500000,6342000,6782000,10000010,11106020,10000000,10000000,10,1106020
33,124655000,125006000,10000000,10000000,4676000,5027000,100652000,100652000,5027000,5027000,4300000,4300000,9327000,9327000,24003000,24354000,10000000,10000000,4676000,5027000,0,0,5027000,5027000,4300000,4300000,9327000,9327000,10000010,11499010,10000000,10000000,10,1499010
