,ssdn_lo,ssdn_hi,ssdn_detection_lo,ssdn_detection_hi,ssdn_notification_lo,ssdn_notification_hi,ssdn_computation_lo,ssdn_computation_hi,ssdn_transference_lo,ssdn_transference_hi,ssdn_installation_lo,ssdn_installation_hi,ssdn_update_lo,ssdn_update_hi,pcsdn_lo,pcsdn_hi,pcsdn_detection_lo,pcsdn_detection_hi,pcsdn_notification_lo,pcsdn_notification_hi,pcsdn_computation_lo,pcsdn_computation_hi,pcsdn_transference_lo,pcsdn_transference_hi,pcsdn_installation_lo,pcsdn_installation_hi,pcsdn_update_lo,pcsdn_update_hi,felix_lo,felix_hi,felix_detection_lo,felix_detection_hi,felix_coordination_lo,felix_coordination_hi
1,298458000,299283000,10000000,10000000,2919000,3744000,263395000,263395000,3744000,3744000,18400000,18400000,22144000,22144000,35063000,35888000,10000000,10000000,2919000,3744000,0,0,3744000,3744000,18400000,18400000,22144000,22144000,10000010,11650020,10000000,10000000,10,1650020
31,318355000,338975000,10000000,10000000,13135000,14625000,263395000,263395000,14625000,17055000,17200000,33900000,31825000,50955000,54960000,75580000,10000000,10000000,13135000,14625000,0,0,14625000,17055000,17200000,33900000,31825000,50955000,10000010,14278060,10000000,10000000,10,4278060
61,304096000,304409000,10000000,10000000,10944000,11257000,263395000,263395000,11257000,11257000,8500000,8500000,19757000,19757000,40701000,41014000,10000000,10000000,10944000,11257000,0,0,11257000,11257000,8500000,8500000,19757000,19757000,10000010,22063070,10000000,10000000,10,12063070
91,299770000,299923000,10000000,10000000,3711000,3864000,263395000,263395000,3864000,3864000,18800000,18800000,22664000,22664000,36375000,36528000,10000000,10000000,3711000,3864000,0,0,3864000,3864000,18800000,18800000,22664000,22664000,10000010,14682130,10000000,10000000,10,4682130
121,295448000,295803000,10000000,10000000,1299000,1654000,263395000,263395000,1654000,1654000,19100000,19100000,20754000,20754000,32053000,32408000,10000000,10000000,1299000,1654000,0,0,1654000,1654000,19100000,19100000,20754000,20754000,10000010,13228120,10000000,10000000,10,3228120
151,291604000,292222000,10000000,10000000,18209000,18827000,263395000,263395000,0,0,0,0,0,0,28209000,28827000,10000000,10000000,18209000,18827000,0,0,0,0,0,0,0,0,10000010,10000000,10000000,10000000,10,0
181,320614000,336970000,10000000,10000000,15549000,16170000,263395000,263395000,16170000,17905000,15500000,29500000,31670000,47405000,57219000,73575000,10000000,10000000,15549000,16170000,0,0,16170000,17905000,15500000,29500000,31670000,47405000,10000010,15446070,10000000,10000000,10,5446070
211,284113000,284170000,10000000,10000000,10718000,10775000,263395000,263395000,0,0,0,0,0,0,20718000,20775000,10000000,10000000,10718000,10775000,0,0,0,0,0,0,0,0,10000010,10000000,10000000,10000000,10,0
241,276252000,276674000,10000000,10000000,2857000,3279000,263395000,263395000,0,0,0,0,0,0,12857000,13279000,10000000,10000000,2857000,3279000,0,0,0,0,0,0,0,0,10000010,10000000,10000000,10000000,10,0
271,275170000,538998000,10000000,10000000,1775000,2208000,263395000,526790000,0,0,0,0,0,0,11775000,12208000,10000000,10000000,1775000,2208000,0,0,0,0,0,0,0,0,10000010,10000000,10000000,10000000,10,0
301,296942000,560974000,10000000,10000000,3155000,3792000,263395000,526790000,3792000,3792000,16600000,16600000,20392000,20392000,33547000,34184000,10000000,10000000,3155000,3792000,0,0,3792000,3792000,16600000,16600000,20392000,20392000,10000010,14355140,10000000,10000000,10,4355140
331,318783000,846465000,10000000,10000000,13748000,14640000,263395000,790185000,14640000,14640000,17000000,17000000,31640000,31640000,55388000,56280000,10000000,10000000,13748000,14640000,0,0,14640000,14640000,17000000,17000000,31640000,31640000,10000010,25225120,10000000,10000000,10,15225120
361,301305000,565070000,10000000,10000000,4120000,4490000,263395000,526790000,4490000,4490000,19300000,19300000,23790000,23790000,37910000,38280000,10000000,10000000,4120000,4490000,0,0,4490000,4490000,19300000,19300000,23790000,23790000,10000010,10825010,10000000,10000000,10,825010
391,275887000,803502000,10000000,10000000,978000,1803000,263395000,790185000,1314000,1314000,200000,200000,1514000,1514000,12492000,13317000,10000000,10000000,978000,1803000,0,0,1314000,1314000,200000,200000,1514000,1514000,10000010,10000000,10000000,10000000,10,0
421,273933000,801988000,10000000,10000000,538000,1803000,263395000,790185000,0,0,0,0,0,0,10538000,11803000,10000000,10000000,538000,1803000,0,0,0,0,0,0,0,0,10000010,10000000,10000000,10000000,10,0
2,297302000,298358000,10000000,10000000,2488000,2919000,263395000,263395000,2919000,3744000,18500000,18300000,21419000,22044000,33907000,34963000,10000000,10000000,2488000,2919000,0,0,2919000,3744000,18500000,18300000,21419000,22044000,10000010,11950020,10000000,10000000,10,1950020
32,314116000,333939000,10000000,10000000,12486000,13135000,263395000,263395000,13135000,18209000,15100000,29200000,28235000,47409000,50721000,70544000,10000000,10000000,12486000,13135000,0,0,13135000,18209000,15100000,29200000,28235000,47409000,10000010,15074070,10000000,10000000,10,5074070
62,303014000,309714000,10000000,10000000,10475000,10944000,263395000,263395000,10944000,11175000,8200000,14200000,19144000,25375000,39619000,46319000,10000000,10000000,10475000,10944000,0,0,10944000,11175000,8200000,14200000,19144000,25375000,10000010,22215100,10000000,10000000,10,12215100
92,321637000,321839000,10000000,10000000,15370000,15572000,263395000,263395000,15572000,15572000,17300000,17300000,32872000,32872000,58242000,58444000,10000000,10000000,15370000,15572000,0,0,15572000,15572000,17300000,17300000,32872000,32872000,10000010,15112070,10000000,10000000,10,5112070
122,292844000,311216000,10000000,10000000,950000,1299000,263395000,263395000,1299000,2322000,17200000,34200000,18499000,36522000,29449000,47821000,10000000,10000000,950000,1299000,0,0,1299000,2322000,17200000,34200000,18499000,36522000,10000010,12879110,10000000,10000000,10,2879110
152,313539000,313613000,10000000,10000000,18135000,18209000,263395000,263395000,18209000,18209000,3800000,3800000,22009000,22009000,50144000,50218000,10000000,10000000,18135000,18209000,0,0,18209000,18209000,3800000,3800000,22009000,22009000,10000010,18629120,10000000,10000000,10,8629120
182,320743000,336249000,10000000,10000000,14799000,15549000,263395000,263395000,15549000,17905000,17000000,29400000,32549000,47305000,57348000,72854000,10000000,10000000,14799000,15549000,0,0,15549000,17905000,17000000,29400000,32549000,47305000,10000010,15699080,10000000,10000000,10,5699080
212,312521000,321027000,10000000,10000000,9310000,17816000,263395000,263395000,17816000,17816000,12000000,12000000,29816000,29816000,49126000,57632000,10000000,10000000,9310000,17816000,0,0,17816000,17816000,12000000,12000000,29816000,29816000,10000010,18772010,10000000,10000000,10,8772010
242,275818000,276252000,10000000,10000000,2423000,2857000,263395000,263395000,0,0,0,0,0,0,12423000,12857000,10000000,10000000,2423000,2857000,0,0,0,0,0,0,0,0,10000010,10000000,10000000,10000000,10,0
272,296627000,831553000,10000000,10000000,1775000,2857000,263395000,790185000,2857000,3711000,18600000,24800000,21457000,28511000,33232000,41368000,10000000,10000000,1775000,2857000,0,0,2857000,3711000,18600000,24800000,21457000,28511000,10000010,13704140,10000000,10000000,10,3704140
