,ssdn_lo,ssdn_hi,ssdn_detection_lo,ssdn_detection_hi,ssdn_notification_lo,ssdn_notification_hi,ssdn_computation_lo,ssdn_computation_hi,ssdn_transference_lo,ssdn_transference_hi,ssdn_installation_lo,ssdn_installation_hi,ssdn_update_lo,ssdn_update_hi,pcsdn_lo,pcsdn_hi,pcsdn_detection_lo,pcsdn_detection_hi,pcsdn_notification_lo,pcsdn_notification_hi,pcsdn_computation_lo,pcsdn_computation_hi,pcsdn_transference_lo,pcsdn_transference_hi,pcsdn_installation_lo,pcsdn_installation_hi,pcsdn_update_lo,pcsdn_update_hi,felix_lo,felix_hi,felix_detection_lo,felix_detection_hi,felix_coordination_lo,felix_coordination_hi
1,112649000,113046000,10000000,10000000,1997000,2394000,100652000,100652000,0,0,0,0,0,0,11997000,12394000,10000000,10000000,1997000,2394000,0,0,0,0,0,0,0,0,10000010,10000000,10000000,10000000,10,0
31,115191000,115345000,10000000,10000000,4539000,4693000,100652000,100652000,0,0,0,0,0,0,14539000,14693000,10000000,10000000,4539000,4693000,0,0,0,0,0,0,0,0,10000010,10000000,10000000,10000000,10,0
61,138741000,140376000,10000000,10000000,992000,2097000,100652000,100652000,2097000,5627000,25000000,22000000,27097000,27627000,38089000,39724000,10000000,10000000,992000,2097000,0,0,2097000,5627000,25000000,22000000,27097000,27627000,10000010,17088060,10000000,10000000,10,7088060
91,112720000,113016000,10000000,10000000,2068000,2364000,100652000,100652000,0,0,0,0,0,0,12068000,12364000,10000000,10000000,2068000,2364000,0,0,0,0,0,0,0,0,10000010,10000000,10000000,10000000,10,0
2,151299000,151952000,10000000,10000000,1997000,2650000,100652000,100652000,2650000,2650000,36000000,36000000,38650000,38650000,50647000,51300000,10000000,10000000,1997000,2650000,0,0,2650000,2650000,36000000,36000000,38650000,38650000,10000010,11154030,10000000,10000000,10,1154030
32,124078000,124152000,10000000,10000000,4676000,4750000,100652000,100652000,4750000,4750000,4000000,4000000,8750000,8750000,23426000,23500000,10000000,10000000,4676000,4750000,0,0,4750000,4750000,4000000,4000000,8750000,8750000,10000010,10245010,10000000,10000000,10,245010
62,135644000,138271000,10000000,10000000,0,992000,100652000,100652000,992000,5627000,24000000,21000000,24992000,26627000,34992000,37619000,10000000,10000000,0,992000,0,0,992000,5627000,24000000,21000000,24992000,26627000,10000010,16096050,10000000,10000000,10,6096050
92,153018000,557199000,10000000,10000000,1621000,3194000,100652000,503260000,2745000,2745000,38000000,38000000,40745000,40745000,52366000,53939000,10000000,10000000,1621000,3194000,0,0,2745000,2745000,38000000,38000000,40745000,40745000,10000010,16066010,10000000,10000000,10,6066010
3,151144000,151776000,10000000,10000000,2650000,2842000,100652000,100652000,2842000,3282000,35000000,35000000,37842000,38282000,50492000,51124000,10000000,10000000,2650000,2842000,0,0,2842000,3282000,35000000,35000000,37842000,38282000,10000010,11106020,10000000,10000000,10,1106020
33,163355000,163706000,10000000,10000000,4676000,5027000,100652000,100652000,5027000,5027000,43000000,43000000,48027000,48027000,62703000,63054000,10000000,10000000,4676000,5027000,0,0,5027000,5027000,43000000,43000000,48027000,48027000,10000010,11499010,10000000,10000000,10,1499010
