,ssdn_lo,ssdn_hi,ssdn_detection_lo,ssdn_detection_hi,ssdn_notification_lo,ssdn_notification_hi,ssdn_computation_lo,ssdn_computation_hi,ssdn_transference_lo,ssdn_transference_hi,ssdn_installation_lo,ssdn_installation_hi,ssdn_update_lo,ssdn_update_hi,pcsdn_lo,pcsdn_hi,pcsdn_detection_lo,pcsdn_detection_hi,pcsdn_notification_lo,pcsdn_notification_hi,pcsdn_computation_lo,pcsdn_computation_hi,pcsdn_transference_lo,pcsdn_transference_hi,pcsdn_installation_lo,pcsdn_installation_hi,pcsdn_update_lo,pcsdn_update_hi,felix_lo,felix_hi,felix_detection_lo,felix_detection_hi,felix_coordination_lo,felix_coordination_hi
1,464058000,464883000,10000000,10000000,2919000,3744000,263395000,263395000,3744000,3744000,184000000,184000000,187744000,187744000,200663000,201488000,10000000,10000000,2919000,3744000,0,0,3744000,3744000,184000000,184000000,187744000,187744000,10000010,11650020,10000000,10000000,10,1650020
31,473155000,644075000,10000000,10000000,13135000,14625000,263395000,263395000,14625000,17055000,172000000,339000000,186625000,356055000,209760000,380680000,10000000,10000000,13135000,14625000,0,0,14625000,17055000,172000000,339000000,186625000,356055000,10000010,14278060,10000000,10000000,10,4278060
61,380596000,380909000,10000000,10000000,10944000,11257000,263395000,263395000,11257000,11257000,85000000,85000000,96257000,96257000,117201000,117514000,10000000,10000000,10944000,11257000,0,0,11257000,11257000,85000000,85000000,96257000,96257000,10000010,22063070,10000000,10000000,10,12063070
91,468970000,469123000,10000000,10000000,3711000,3864000,263395000,263395000,3864000,3864000,188000000,188000000,191864000,191864000,205575000,205728000,10000000,10000000,3711000,3864000,0,0,3864000,3864000,188000000,188000000,191864000,191864000,10000010,14682130,10000000,10000000,10,4682130
121,467348000,467703000,10000000,10000000,1299000,1654000,263395000,263395000,1654000,1654000,191000000,191000000,192654000,192654000,203953000,204308000,10000000,10000000,1299000,1654000,0,0,1654000,1654000,191000000,191000000,192654000,192654000,10000010,13228120,10000000,10000000,10,3228120
151,291604000,292222000,10000000,10000000,18209000,18827000,263395000,263395000,0,0,0,0,0,0,28209000,28827000,10000000,10000000,18209000,18827000,0,0,0,0,0,0,0,0,10000010,10000000,10000000,10000000,10,0
181,460114000,602470000,10000000,10000000,15549000,16170000,263395000,263395000,16170000,17905000,155000000,295000000,171170000,312905000,196719000,339075000,10000000,10000000,15549000,16170000,0,0,16170000,17905000,155000000,295000000,171170000,312905000,10000010,15446070,10000000,10000000,10,5446070
211,284113000,284170000,10000000,10000000,10718000,10775000,263395000,263395000,0,0,0,0,0,0,20718000,20775000,10000000,10000000,10718000,10775000,0,0,0,0,0,0,0,0,10000010,10000000,10000000,10000000,10,0
241,276252000,276674000,10000000,10000000,2857000,3279000,263395000,263395000,0,0,0,0,0,0,12857000,13279000,10000000,10000000,2857000,3279000,0,0,0,0,0,0,0,0,10000010,10000000,10000000,10000000,10,0
271,275170000,538998000,10000000,10000000,1775000,2208000,263395000,526790000,0,0,0,0,0,0,11775000,12208000,10000000,10000000,1775000,2208000,0,0,0,0,0,0,0,0,10000010,10000000,10000000,10000000,10,0
301,446342000,710374000,10000000,10000000,3155000,3792000,263395000,526790000,3792000,3792000,166000000,166000000,169792000,169792000,182947000,183584000,10000000,10000000,3155000,3792000,0,0,3792000,3792000,166000000,166000000,169792000,169792000,10000010,14355140,10000000,10000000,10,4355140
331,471783000,999465000,10000000,10000000,13748000,14640000,263395000,790185000,14640000,14640000,170000000,170000000,184640000,184640000,208388000,209280000,10000000,10000000,13748000,14640000,0,0,14640000,14640000,170000000,170000000,184640000,184640000,10000010,25225120,10000000,10000000,10,15225120
361,475005000,738770000,10000000,10000000,4120000,4490000,263395000,526790000,4490000,4490000,193000000,193000000,197490000,197490000,211610000,211980000,10000000,10000000,4120000,4490000,0,0,4490000,4490000,193000000,193000000,197490000,197490000,10000010,10825010,10000000,10000000,10,825010
391,279423000,807038000,10000000,10000000,978000,1803000,263395000,790185000,1050000,1050000,4000000,4000000,5050000,5050000,16028000,16853000,10000000,10000000,978000,1803000,0,0,1050000,1050000,4000000,4000000,5050000,5050000,10000010,10000000,10000000,10000000,10,0
421,273933000,801988000,10000000,10000000,538000,1803000,263395000,790185000,0,0,0,0,0,0,10538000,11803000,10000000,10000000,538000,1803000,0,0,0,0,0,0,0,0,10000010,10000000,10000000,10000000,10,0
2,463802000,464233000,10000000,10000000,2488000,2919000,263395000,263395000,2919000,2919000,185000000,185000000,187919000,187919000,200407000,200838000,10000000,10000000,2488000,2919000,0,0,2919000,2919000,185000000,185000000,187919000,187919000,10000010,11950020,10000000,10000000,10,1950020
32,450016000,596739000,10000000,10000000,12486000,13135000,263395000,263395000,13135000,18209000,151000000,292000000,164135000,310209000,186621000,333344000,10000000,10000000,12486000,13135000,0,0,13135000,18209000,151000000,292000000,164135000,310209000,10000010,15074070,10000000,10000000,10,5074070
62,376814000,437514000,10000000,10000000,10475000,10944000,263395000,263395000,10944000,11175000,82000000,142000000,92944000,153175000,113419000,174119000,10000000,10000000,10475000,10944000,0,0,10944000,11175000,82000000,142000000,92944000,153175000,10000010,22215100,10000000,10000000,10,12215100
92,477337000,477539000,10000000,10000000,15370000,15572000,263395000,263395000,15572000,15572000,173000000,173000000,188572000,188572000,213942000,214144000,10000000,10000000,15370000,15572000,0,0,15572000,15572000,173000000,173000000,188572000,188572000,10000010,15112070,10000000,10000000,10,5112070
122,447644000,619016000,10000000,10000000,950000,1299000,263395000,263395000,1299000,2322000,172000000,342000000,173299000,344322000,184249000,355621000,10000000,10000000,950000,1299000,0,0,1299000,2322000,172000000,342000000,173299000,344322000,10000010,12879110,10000000,10000000,10,2879110
152,347739000,347813000,10000000,10000000,18135000,18209000,263395000,263395000,18209000,18209000,38000000,38000000,56209000,56209000,84344000,84418000,10000000,10000000,18135000,18209000,0,0,18209000,18209000,38000000,38000000,56209000,56209000,10000010,18629120,10000000,10000000,10,8629120
182,473743000,600849000,10000000,10000000,14799000,15549000,263395000,263395000,15549000,17905000,170000000,294000000,185549000,311905000,210348000,337454000,10000000,10000000,14799000,15549000,0,0,15549000,17905000,170000000,294000000,185549000,311905000,10000010,15699080,10000000,10000000,10,5699080
212,420521000,429027000,10000000,10000000,9310000,17816000,263395000,263395000,17816000,17816000,120000000,120000000,137816000,137816000,157126000,165632000,10000000,10000000,9310000,17816000,0,0,17816000,17816000,120000000,120000000,137816000,137816000,10000010,18772010,10000000,10000000,10,8772010
242,275818000,276252000,10000000,10000000,2423000,2857000,263395000,263395000,0,0,0,0,0,0,12423000,12857000,10000000,10000000,2423000,2857000,0,0,0,0,0,0,0,0,10000010,10000000,10000000,10000000,10,0
272,464027000,1054753000,10000000,10000000,1775000,2857000,263395000,790185000,2857000,3711000,186000000,248000000,188857000,251711000,200632000,264568000,10000000,10000000,1775000,2857000,0,0,2857000,3711000,186000000,248000000,188857000,251711000,10000010,13704140,10000000,10000000,10,3704140
302,467572000,731518000,10000000,10000000,3313000,3864000,263395000,526790000,3864000,3864000,187000000,187000000,190864000,190864000,204177000,204728000,10000000,10000000,3313000,3864000,0,0,3864000,3864000,187000000,187000000,190864000,190864000,10000010,14284120,10000000,10000000,10,4284120
332,471462000,735966000,10000000,10000000,12979000,14088000,263395000,526790000,14088000,14088000,171000000,171000000,185088000,185088000,208067000,209176000,10000000,10000000,12979000,14088000,0,0,14088000,14088000,171000000,171000000,185088000,185088000,10000010,24456110,10000000,10000000,10,14456110
362,473730000,737550000,10000000,10000000,4065000,4270000,263395000,526790000,4270000,4490000,192000000,192000000,196270000,196490000,210335000,210760000,10000000,10000000,4065000,4270000,0,0,4270000,4490000,192000000,192000000,196270000,196490000,10000010,11045020,10000000,10000000,10,1045020
392,432481000,960921000,10000000,10000000,10718000,12368000,263395000,790185000,12368000,12368000,136000000,136000000,148368000,148368000,169086000,170736000,10000000,10000000,10718000,12368000,0,0,12368000,12368000,136000000,136000000,148368000,148368000,10000010,22195080,10000000,10000000,10,12195080
