,ssdn_lo,ssdn_hi,ssdn_detection_lo,ssdn_detection_hi,ssdn_notification_lo,ssdn_notification_hi,ssdn_computation_lo,ssdn_computation_hi,ssdn_transference_lo,ssdn_transference_hi,ssdn_installation_lo,ssdn_installation_hi,ssdn_update_lo,ssdn_update_hi,pcsdn_lo,pcsdn_hi,pcsdn_detection_lo,pcsdn_detection_hi,pcsdn_notification_lo,pcsdn_notification_hi,pcsdn_computation_lo,pcsdn_computation_hi,pcsdn_transference_lo,pcsdn_transference_hi,pcsdn_installation_lo,pcsdn_installation_hi,pcsdn_update_lo,pcsdn_update_hi,felix_lo,felix_hi,felix_detection_lo,felix_detection_hi,felix_coordination_lo,felix_coordination_hi
1,1089506000,1091506000,1000000,1000000,17000000,19000000,634506000,634506000,17000000,17000000,420000000,420000000,437000000,437000000,455000000,457000000,1000000,1000000,17000000,19000000,0,0,17000000,17000000,420000000,420000000,437000000,437000000,1000010,48000020,1000000,1000000,10,47000020
31,723506000,723506000,1000000,1000000,19000000,19000000,634506000,634506000,19000000,19000000,50000000,50000000,69000000,69000000,89000000,89000000,1000000,1000000,19000000,19000000,0,0,19000000,19000000,50000000,50000000,69000000,69000000,1000010,23000010,1000000,1000000,10,22000010
61,3016506000,3017506000,1000000,1000000,10000000,11000000,634506000,634506000,11000000,11000000,2360000000,2360000000,2371000000,2371000000,2382000000,2383000000,1000000,1000000,10000000,11000000,0,0,11000000,11000000,2360000000,2360000000,2371000000,2371000000,1000010,87000040,1000000,1000000,10,86000040
91,3154506000,3155506000,1000000,1000000,19000000,20000000,634506000,634506000,20000000,20000000,2480000000,2480000000,2500000000,2500000000,2520000000,2521000000,1000000,1000000,19000000,20000000,0,0,20000000,20000000,2480000000,2480000000,2500000000,2500000000,1000010,23000010,1000000,1000000,10,22000010
121,3438506000,3439506000,1000000,1000000,1000000,2000000,634506000,634506000,2000000,2000000,2800000000,2800000000,2802000000,2802000000,2804000000,2805000000,1000000,1000000,1000000,2000000,0,0,2000000,2000000,2800000000,2800000000,2802000000,2802000000,1000010,83000030,1000000,1000000,10,82000030
151,1430506000,1431506000,1000000,1000000,7000000,8000000,634506000,634506000,8000000,8000000,780000000,780000000,788000000,788000000,796000000,797000000,1000000,1000000,7000000,8000000,0,0,8000000,8000000,780000000,780000000,788000000,788000000,1000010,9000020,1000000,1000000,10,8000020
181,2285506000,2285506000,1000000,1000000,20000000,20000000,634506000,634506000,20000000,20000000,1610000000,1610000000,1630000000,1630000000,1651000000,1651000000,1000000,1000000,20000000,20000000,0,0,20000000,20000000,1610000000,1610000000,1630000000,1630000000,1000010,28000040,1000000,1000000,10,27000040
211,1105506000,1105506000,1000000,1000000,20000000,20000000,634506000,634506000,20000000,20000000,430000000,430000000,450000000,450000000,471000000,471000000,1000000,1000000,20000000,20000000,0,0,20000000,20000000,430000000,430000000,450000000,450000000,1000010,2000010,1000000,1000000,10,1000010
241,681506000,682506000,1000000,1000000,8000000,9000000,634506000,634506000,8000000,8000000,30000000,30000000,38000000,38000000,47000000,48000000,1000000,1000000,8000000,9000000,0,0,8000000,8000000,30000000,30000000,38000000,38000000,1000010,2000010,1000000,1000000,10,1000010
271,2322506000,2323506000,1000000,1000000,8000000,9000000,634506000,634506000,9000000,9000000,1670000000,1670000000,1679000000,1679000000,1688000000,1689000000,1000000,1000000,8000000,9000000,0,0,9000000,9000000,1670000000,1670000000,1679000000,1679000000,1000010,17000040,1000000,1000000,10,16000040
301,2594506000,2595506000,1000000,1000000,9000000,10000000,634506000,634506000,10000000,10000000,1940000000,1940000000,1950000000,1950000000,1960000000,1961000000,1000000,1000000,9000000,10000000,0,0,10000000,10000000,1940000000,1940000000,1950000000,1950000000,1000010,17000040,1000000,1000000,10,16000040
331,3052506000,3053506000,1000000,1000000,8000000,9000000,634506000,634506000,9000000,9000000,2400000000,2400000000,2409000000,2409000000,2418000000,2419000000,1000000,1000000,8000000,9000000,0,0,9000000,9000000,2400000000,2400000000,2409000000,2409000000,1000010,34000020,1000000,1000000,10,33000020
361,681506000,682506000,1000000,1000000,8000000,9000000,634506000,634506000,8000000,8000000,30000000,30000000,38000000,38000000,47000000,48000000,1000000,1000000,8000000,9000000,0,0,8000000,8000000,30000000,30000000,38000000,38000000,1000010,2000010,1000000,1000000,10,1000010
391,1953506000,1953506000,1000000,1000000,9000000,9000000,634506000,634506000,9000000,9000000,1300000000,1300000000,1309000000,1309000000,1319000000,1319000000,1000000,1000000,9000000,9000000,0,0,9000000,9000000,1300000000,1300000000,1309000000,1309000000,1000010,17000030,1000000,1000000,10,16000030
421,2401506000,2401506000,1000000,1000000,13000000,13000000,634506000,634506000,13000000,13000000,1740000000,1740000000,1753000000,1753000000,1767000000,1767000000,1000000,1000000,13000000,13000000,0,0,13000000,13000000,1740000000,1740000000,1753000000,1753000000,1000010,3000010,1000000,1000000,10,2000010
451,2401506000,2401506000,1000000,1000000,13000000,13000000,634506000,634506000,13000000,13000000,1740000000,1740000000,1753000000,1753000000,1767000000,1767000000,1000000,1000000,13000000,13000000,0,0,13000000,13000000,1740000000,1740000000,1753000000,1753000000,1000010,3000010,1000000,1000000,10,2000010
481,2638506000,2641506000,1000000,1000000,0,3000000,634506000,634506000,3000000,3000000,2000000000,2000000000,2003000000,2003000000,2004000000,2007000000,1000000,1000000,0,3000000,0,0,3000000,3000000,2000000000,2000000000,2003000000,2003000000,1000010,45000050,1000000,1000000,10,44000050
511,3758506000,3759506000,1000000,1000000,46000000,47000000,634506000,634506000,47000000,47000000,3030000000,3030000000,3077000000,3077000000,3124000000,3125000000,1000000,1000000,46000000,47000000,0,0,47000000,47000000,3030000000,3030000000,3077000000,3077000000,1000010,14000050,1000000,1000000,10,13000050
541,1741506000,1742506000,1000000,1000000,18000000,19000000,634506000,634506000,18000000,18000000,1070000000,1070000000,1088000000,1088000000,1107000000,1108000000,1000000,1000000,18000000,19000000,0,0,18000000,18000000,1070000000,1070000000,1088000000,1088000000,1000010,73000020,1000000,1000000,10,72000020
571,2885506000,2885506000,1000000,1000000,10000000,10000000,634506000,634506000,10000000,10000000,2230000000,2230000000,2240000000,2240000000,2251000000,2251000000,1000000,1000000,10000000,10000000,0,0,10000000,10000000,2230000000,2230000000,2240000000,2240000000,1000010,50000020,1000000,1000000,10,49000020
601,3400506000,3401506000,1000000,1000000,7000000,8000000,634506000,634506000,8000000,8000000,2750000000,2750000000,2758000000,2758000000,2766000000,2767000000,1000000,1000000,7000000,8000000,0,0,8000000,8000000,2750000000,2750000000,2758000000,2758000000,1000010,27000040,1000000,1000000,10,26000040
631,2974506000,2975506000,1000000,1000000,9000000,10000000,634506000,634506000,10000000,10000000,2320000000,2320000000,2330000000,2330000000,2340000000,2341000000,1000000,1000000,9000000,10000000,0,0,10000000,10000000,2320000000,2320000000,2330000000,2330000000,1000010,84000020,1000000,1000000,10,83000020
661,2505506000,2505506000,1000000,1000000,10000000,10000000,634506000,634506000,10000000,10000000,1850000000,1850000000,1860000000,1860000000,1871000000,1871000000,1000000,1000000,10000000,10000000,0,0,10000000,10000000,1850000000,1850000000,1860000000,1860000000,1000010,43000020,1000000,1000000,10,42000020
691,1863506000,1879506000,1000000,1000000,1000000,17000000,634506000,634506000,17000000,17000000,1210000000,1210000000,1227000000,1227000000,1229000000,1245000000,1000000,1000000,1000000,17000000,0,0,17000000,17000000,1210000000,1210000000,1227000000,1227000000,1000010,10000020,1000000,1000000,10,9000020
