,n_nrml_fwding_table_entries,n_alt_fwding_table_entries,n_opposite_table_entries,n_state_transition_table_entries
0,127,4008.0,8.0,24.0
1,127,4008.0,8.0,24.0
2,127,4008.0,8.0,24.0
3,127,4008.0,8.0,24.0
4,127,4008.0,8.0,24.0
5,127,4008.0,8.0,24.0
6,127,4008.0,8.0,24.0
7,127,4008.0,8.0,24.0
8,127,4008.0,8.0,24.0
9,127,4008.0,8.0,24.0
10,127,4008.0,8.0,24.0
11,127,4008.0,8.0,24.0
12,127,4008.0,8.0,24.0
13,127,4008.0,8.0,24.0
14,127,4008.0,8.0,24.0
15,127,4008.0,8.0,24.0
16,127,4008.0,8.0,24.0
17,127,4008.0,8.0,24.0
18,127,4008.0,8.0,24.0
19,127,4008.0,8.0,24.0
20,127,4008.0,8.0,24.0
21,127,4008.0,8.0,24.0
22,127,4008.0,8.0,24.0
23,127,4008.0,8.0,24.0
24,127,4008.0,8.0,24.0
25,127,4008.0,8.0,24.0
26,127,4008.0,8.0,24.0
27,127,4008.0,8.0,24.0
28,127,4008.0,8.0,24.0
29,127,4008.0,8.0,24.0
30,127,4008.0,8.0,24.0
31,127,4008.0,8.0,24.0
32,127,4008.0,8.0,24.0
33,127,4008.0,8.0,24.0
34,127,4008.0,8.0,24.0
35,127,4008.0,8.0,24.0
36,127,4008.0,8.0,24.0
37,127,4008.0,8.0,24.0
38,127,4008.0,8.0,24.0
39,127,4008.0,8.0,24.0
40,127,4008.0,8.0,24.0
41,127,4008.0,8.0,24.0
42,127,4008.0,8.0,24.0
43,127,4008.0,8.0,24.0
44,127,4008.0,8.0,24.0
45,127,4008.0,8.0,24.0
46,127,4008.0,8.0,24.0
47,127,4008.0,8.0,24.0
48,127,4008.0,8.0,24.0
49,127,4008.0,8.0,24.0
50,127,4008.0,8.0,24.0
51,127,4008.0,8.0,24.0
52,127,4008.0,8.0,24.0
53,127,4008.0,8.0,24.0
54,127,4008.0,8.0,24.0
55,127,4008.0,8.0,24.0
56,127,4008.0,8.0,24.0
57,127,4008.0,8.0,24.0
58,127,4008.0,8.0,24.0
59,127,4008.0,8.0,24.0
60,127,4008.0,8.0,24.0
61,127,4008.0,8.0,24.0
62,127,4008.0,8.0,24.0
63,127,4008.0,8.0,24.0
64,127,4008.0,8.0,24.0
65,127,4008.0,8.0,24.0
66,127,4008.0,8.0,24.0
67,127,4008.0,8.0,24.0
68,127,4008.0,8.0,24.0
69,127,4008.0,8.0,24.0
70,127,4008.0,8.0,24.0
71,127,4008.0,8.0,24.0
72,127,4008.0,8.0,24.0
73,127,4008.0,8.0,24.0
74,127,4008.0,8.0,24.0
75,127,4008.0,8.0,24.0
76,127,4008.0,8.0,24.0
77,127,4008.0,8.0,24.0
78,127,4008.0,8.0,24.0
79,127,4008.0,8.0,24.0
80,127,4008.0,8.0,24.0
81,127,4008.0,8.0,24.0
82,127,4008.0,8.0,24.0
83,127,4008.0,8.0,24.0
84,127,4008.0,8.0,24.0
85,127,4008.0,8.0,24.0
86,127,4008.0,8.0,24.0
87,127,4008.0,8.0,24.0
88,127,4008.0,8.0,24.0
89,127,4008.0,8.0,24.0
90,127,4008.0,8.0,24.0
91,127,4008.0,8.0,24.0
92,127,4008.0,8.0,24.0
93,127,4008.0,8.0,24.0
94,127,4008.0,8.0,24.0
95,127,4008.0,8.0,24.0
96,127,4008.0,8.0,24.0
97,127,4008.0,8.0,24.0
98,127,4008.0,8.0,24.0
99,127,4008.0,8.0,24.0
100,127,4008.0,8.0,24.0
101,127,4008.0,8.0,24.0
102,127,4008.0,8.0,24.0
103,127,4008.0,8.0,24.0
104,127,4008.0,8.0,24.0
105,127,4008.0,8.0,24.0
106,127,4008.0,8.0,24.0
107,127,4008.0,8.0,24.0
108,127,4008.0,8.0,24.0
109,127,4008.0,8.0,24.0
110,127,4008.0,8.0,24.0
111,127,4008.0,8.0,24.0
112,127,4008.0,8.0,24.0
113,127,4008.0,8.0,24.0
114,127,4008.0,8.0,24.0
115,127,4008.0,8.0,24.0
116,127,4008.0,8.0,24.0
117,127,4008.0,8.0,24.0
118,127,4008.0,8.0,24.0
119,127,4008.0,8.0,24.0
120,127,4008.0,8.0,24.0
121,127,4008.0,8.0,24.0
122,127,4008.0,8.0,24.0
123,127,4008.0,8.0,24.0
124,127,4008.0,8.0,24.0
125,127,4008.0,8.0,24.0
126,127,4008.0,8.0,24.0
127,127,4008.0,8.0,24.0
128,128,3008.0,16.0,48.0
129,128,3008.0,16.0,48.0
130,128,3008.0,16.0,48.0
131,128,3008.0,16.0,48.0
132,128,3008.0,16.0,48.0
133,128,3008.0,16.0,48.0
