,n_nrml_fwding_table_entries,n_alt_fwding_table_entries,n_opposite_table_entries,n_state_transition_table_entries
0,47,0.0,1.0,3.0
1,47,221.0,2.0,6.0
2,47,172.0,6.0,18.0
3,47,0.0,1.0,3.0
4,47,164.0,4.0,12.0
5,47,292.0,2.0,6.0
6,47,234.0,2.0,6.0
7,47,315.0,2.0,6.0
8,47,193.0,4.0,12.0
9,47,0.0,1.0,3.0
10,47,0.0,1.0,3.0
11,47,96.0,2.0,6.0
12,47,168.0,3.0,9.0
13,47,142.0,2.0,6.0
14,47,178.0,4.0,12.0
15,47,47.0,2.0,6.0
16,47,55.0,5.0,15.0
17,47,0.0,2.0,6.0
18,47,0.0,2.0,6.0
19,47,0.0,2.0,6.0
20,47,134.0,3.0,9.0
21,47,54.0,4.0,12.0
22,47,217.0,3.0,9.0
23,47,52.0,2.0,6.0
24,47,219.0,2.0,6.0
25,47,93.0,4.0,12.0
26,47,0.0,1.0,3.0
27,47,212.0,5.0,15.0
28,47,190.0,2.0,6.0
29,47,218.0,4.0,12.0
30,47,138.0,3.0,9.0
31,47,132.0,5.0,15.0
32,47,0.0,1.0,3.0
33,47,275.0,5.0,15.0
34,47,108.0,3.0,9.0
35,47,167.0,3.0,9.0
36,47,228.0,3.0,9.0
37,47,252.0,2.0,6.0
38,47,154.0,2.0,6.0
39,47,206.0,2.0,6.0
40,47,184.0,3.0,9.0
41,47,369.0,2.0,6.0
42,47,208.0,2.0,6.0
43,47,157.0,2.0,6.0
44,47,146.0,2.0,6.0
45,47,264.0,4.0,12.0
46,47,112.0,2.0,6.0
47,47,156.0,2.0,6.0
