,n_nrml_fwding_table_entries,n_alt_fwding_table_entries,n_opposite_table_entries,n_state_transition_table_entries
0,196,592.0,2.0,6.0
1,196,236.0,5.0,15.0
2,196,403.0,2.0,6.0
3,196,1328.0,2.0,6.0
4,196,1560.0,3.0,9.0
5,196,1168.0,2.0,6.0
6,196,619.0,3.0,9.0
7,196,2054.0,3.0,9.0
8,196,1600.0,5.0,15.0
9,196,228.0,2.0,6.0
10,196,200.0,2.0,6.0
11,196,582.0,2.0,6.0
12,196,935.0,3.0,9.0
13,196,570.0,4.0,12.0
14,196,1255.0,3.0,9.0
15,196,811.0,2.0,6.0
16,196,197.0,3.0,9.0
17,196,0.0,1.0,3.0
18,196,901.0,2.0,6.0
19,196,952.0,4.0,12.0
20,196,847.0,2.0,6.0
21,196,420.0,2.0,6.0
22,196,2208.0,2.0,6.0
23,196,1223.0,2.0,6.0
24,196,0.0,1.0,3.0
25,196,448.0,2.0,6.0
26,196,774.0,4.0,12.0
27,196,0.0,2.0,6.0
28,196,2201.0,3.0,9.0
29,196,410.0,2.0,6.0
30,196,1005.0,3.0,9.0
31,196,0.0,1.0,3.0
32,196,494.0,3.0,9.0
33,196,0.0,1.0,3.0
34,196,0.0,1.0,3.0
35,196,500.0,2.0,6.0
36,196,1078.0,2.0,6.0
37,196,1908.0,6.0,18.0
38,196,756.0,3.0,9.0
39,196,679.0,2.0,6.0
40,196,198.0,2.0,6.0
41,196,578.0,3.0,9.0
42,196,11.0,3.0,9.0
43,196,198.0,2.0,6.0
44,196,1187.0,2.0,6.0
45,196,1141.0,3.0,9.0
46,196,2281.0,2.0,6.0
47,196,1951.0,2.0,6.0
48,196,797.0,3.0,9.0
49,196,747.0,4.0,12.0
50,196,432.0,2.0,6.0
51,196,612.0,3.0,9.0
52,196,456.0,2.0,6.0
53,196,831.0,2.0,6.0
54,196,1879.0,2.0,6.0
55,196,3240.0,3.0,9.0
56,196,3725.0,2.0,6.0
57,196,2244.0,2.0,6.0
58,196,2439.0,2.0,6.0
59,196,2210.0,2.0,6.0
60,196,439.0,2.0,6.0
61,196,758.0,3.0,9.0
62,196,1163.0,3.0,9.0
63,196,850.0,3.0,9.0
64,196,2028.0,4.0,12.0
65,196,668.0,2.0,6.0
66,196,559.0,2.0,6.0
67,196,617.0,3.0,9.0
68,196,597.0,3.0,9.0
69,196,800.0,3.0,9.0
70,196,457.0,2.0,6.0
71,196,896.0,2.0,6.0
72,196,1169.0,2.0,6.0
73,196,885.0,2.0,6.0
74,196,464.0,2.0,6.0
75,196,505.0,2.0,6.0
76,196,1169.0,2.0,6.0
77,196,1982.0,5.0,15.0
78,196,632.0,3.0,9.0
79,196,743.0,3.0,9.0
80,196,1481.0,3.0,9.0
81,196,0.0,1.0,3.0
82,196,1914.0,4.0,12.0
83,196,843.0,2.0,6.0
84,196,0.0,2.0,6.0
85,196,0.0,1.0,3.0
86,196,1174.0,3.0,9.0
87,196,1087.0,3.0,9.0
88,196,801.0,2.0,6.0
89,196,527.0,2.0,6.0
90,196,0.0,1.0,3.0
91,196,1180.0,2.0,6.0
92,196,1281.0,4.0,12.0
93,196,0.0,1.0,3.0
94,196,1083.0,2.0,6.0
95,196,755.0,2.0,6.0
96,196,805.0,3.0,9.0
97,196,2133.0,2.0,6.0
98,196,625.0,2.0,6.0
99,196,1358.0,2.0,6.0
100,196,2368.0,2.0,6.0
101,196,4648.0,3.0,9.0
102,196,1922.0,2.0,6.0
103,196,1918.0,2.0,6.0
104,196,2220.0,2.0,6.0
105,196,1719.0,3.0,9.0
106,196,1568.0,2.0,6.0
107,196,451.0,3.0,9.0
108,196,832.0,2.0,6.0
109,196,2293.0,2.0,6.0
110,196,482.0,2.0,6.0
111,196,1330.0,2.0,6.0
112,196,1321.0,2.0,6.0
113,196,957.0,2.0,6.0
114,196,392.0,2.0,6.0
115,196,787.0,2.0,6.0
116,196,400.0,2.0,6.0
117,196,1538.0,2.0,6.0
118,196,1160.0,2.0,6.0
119,196,434.0,2.0,6.0
120,196,1920.0,2.0,6.0
121,196,0.0,2.0,6.0
122,196,0.0,2.0,6.0
123,196,0.0,3.0,9.0
124,196,0.0,2.0,6.0
125,196,0.0,1.0,3.0
126,196,0.0,1.0,3.0
127,196,1245.0,2.0,6.0
128,196,2509.0,3.0,9.0
129,196,513.0,3.0,9.0
130,196,860.0,2.0,6.0
131,196,3874.0,3.0,9.0
